;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
ПРАЙС-ЛИСТ НА 08.11.2021;;;;;;;;;;
МОСКВА- тел.+7(495)956-78-25, e-mail: fedor12volt@mail.ru;;;;;;;;;;
САНКТ-ПЕТЕРБУРГ- тел.+7(812)337-13-75, e-mail :alex12v@bk.ru;;;;;;;;;;
;Упаковка;Опт, руб.;РРЦ / INTERNET;Заказ,    шт.;Поступления                              Изменение цены;ССЫЛКА ;;;;
STARLINE  A63 v.2 ECO ( без дополнит брелка )    ;10 шт.;6,050.00р.;7,450.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/1731/;;;;
STARLINE  A63 v.2     ;10 шт.;7,400.00р.;8,900.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/1297/;;;;
STARLINE  A63 v.2 GSM ECO;10 шт.;10,200.00р.;12,800.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3795/;;;;
STARLINE  A63 v.2 2CAN +2LIN ECO;10 шт.;7,850.00р.;9,750.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/4329/;;;;
STARLINE  Е66 v.2 BT ECO 2CAN+4LIN;10 шт.;7,850.00р.;9,750.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/3140/;;;;
STARLINE  Е66 v.2 BT 2CAN+4LIN;10 шт.;9,000.00р.;10,900.00р.;;NEW поступление!!!;;;;;
STARLINE  S66 v.2 BT 2CAN+4LIN 2SIM GSM;10 шт.;8,800.00р.;10,750.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3509/;;;;
1.3 Охранные системы c обратной связью (брелок с ЖК-дисплеем) и дистанционным запуском;;;;;;;;;;
ALLIGATOR С-3С;12 шт.;5,640.00р.;6,990.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3647/;;;;
ALLIGATOR С-5 (двойной диалоговый код);12 шт.;9,515.00р.;11,590.00р.;;;http://www.master12volt.ru/products/alligator_car_alarm/2500/;;;;
CENTURION S-9;10 шт.;5,460.00р.;6,550.00р.;;;http://www.master12volt.ru/products/centurion/2932/;;;;
FIGHTER F-90;10 шт.;4,800.00р.;5,700.00р.;;Лучшее предложение!!!;http://www.master12volt.ru/products/avtosignalizatsii/5545/;;;;
KGB GX-7;10 шт.;5,550.00р.;6,790.00р.;;На складе !!!;http://www.master12volt.ru/products/kgb/4746/;;;;
TIGER SHARK TS-3018;10 шт.;4,550.00р.;5,400.00р.;;Лучшее предложение!!!;http://www.master12volt.ru/products/tiger-shark1/4416/;;;;
PANDORA DX 57 (без доп.брелка) ЗАПУСК!!!;16 шт.;9,425.00р.;11,800.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5172/;;;;
PANDORA DX 57R (без доп.брелка) BT- ЗАПУСК!!!;16 шт.;10,720.00р.;12,930.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5455/;;;;
PANDORA DX 9Х ВТ LoRa ЗАПУСК!!!;8 шт.;12,350.00р.;14,620.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5456/;;;;
PANDORA DX 90 LoRa ;8 шт.;15,230.00р.;18,970.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/4938/;;;;
PANDORA DX 91 LoRa v.3;8 шт.;19,050.00р.;25,745.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/4448/;;;;
PANDORA DXL 4710;8 шт.;28,775.00р.;35,970.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/4845/;;;;
PANDORA DXL 4750;8 шт.;46,550.00р.;61,360.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/4939/;;;;
PANDORA DXL 4910;8 шт.;24,550.00р.;30,890.00р.;;;http://www.master12volt.ru/products/pandora_car_alarm/3868/;;;;
PANDORA DXL 4910L;8 шт.;28,210.00р.;35,210.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandora_car_alarm/4032/;;;;
PANDORA DXL 4970;8 шт.;52,645.00р.;67,390.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandora_car_alarm/3329/;;;;
PANDORA UX 4790;8 шт.;54,840.00р.;71,305.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandora_car_alarm/5462/;;;;
PANDORA UX 5300;8 шт.;33,065.00р.;39,380.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5550/;;;;
PANDORA UX-4G Upgrade KIT;8 шт.;8,990.00р.;10,790.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5457/;;;;
PANDORA UX-4G;8 шт.;28,980.00р.;35,265.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5233/;;;;
PANDORA DX-4G;20 шт.;19,940.00р.;24,945.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5155/;;;;
PANDORA DX-4GS PLUS ;20 шт.;21,935.00р.;28,355.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandora_car_alarm/5463/;;;;
PANDORA DX-4G L PLUS ;20 шт.;15,625.00р.;19,530.00р.;;Изменение цен с 01.11.2021;Технические храктеристикии и параметры Pandora DX 4GL plus;;;;
PANDORA DX-4G R;20 шт.;13,100.00р.;16,200.00р.;;NEW поступление!!!;;;;;
PANDECT X-1800 L v2;20 шт.;11,820.00р.;14,800.00р.;;NEW поступление!!!;;;;;
PANDECT X-1800 R;20 шт.;10,950.00р.;13,500.00р.;;NEW поступление!!!;;;;;
PANDECT X-3110 PLUS;8 шт.;16,930.00р.;22,055.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/5232/;;;;
PANDECT X-3190L;8 шт.;23,275.00р.;31,035.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/avtosignalizatsii/4887/;;;;
STARLINE  ПОБЕДИТ AS96 v.2 (охранно-телематический комплекс);1 шт.;24,600.00р.;33,000.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/5179/;;;;
STARLINE  ПОБЕДИТ B97 LTE (охранно-телематический комплекс);1 шт.;34,350.00р.;46,250.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/5467/;;;;
STARLINE  ПОБЕДИТ AS97 LTE (охранно-телематический комплекс);1 шт.;27,200.00р.;36,450.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/5468/;;;;
STARLINE  ПОБЕДИТ S96 v.2 (охранно-телематический комплекс);1 шт.;30,450.00р.;38,300.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/5179/;;;;
STARLINE  A93 v.2 ;10 шт.;9,000.00р.;11,350.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/1298/;;;;
STARLINE  A93 v.2 ECO ( без дополнительного брелка ) ;10 шт.;7,650.00р.;9,900.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/1732/;;;;
STARLINE  A93 v.2 2CAN+2LIN ECO ( без дополнительного брелка ) ;10 шт.;8,850.00р.;11,250.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3869/;;;;
STARLINE  A93 v.2 2CAN+2LIN;10 шт.;10,150.00р.;12,800.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/2235/;;;;
STARLINE  A93 v.2 2CAN+2LIN ECO GSM ;10 шт.;13,450.00р.;16,850.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/4330/;;;;
STARLINE  A93 v.2 GSM;10 шт.;13,400.00р.;16,900.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/1709/;;;;
STARLINE  AS97  BT 3CAN+4LIN LTE-GPS;10 шт.;16,900.00р.;23,450.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/5465/;;;;
STARLINE  A97 ВТ;10 шт.;14,400.00р.;19,950.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5235/;;;;
STARLINE  A97 BT GSM ;10 шт.;18,550.00р.;25,300.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5433/;;;;
STARLINE  A97 BT GSM-GPS ;10 шт.;23,650.00р.;30,950.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5434/;;;;
STARLINE  В97;10 шт.;15,800.00р.;22,900.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5303/;;;;
STARLINE  В97 LTE GPS ;10 шт.;25,400.00р.;34,200.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/5405/;;;;
STARLINE  D97 LTE GPS ;10 шт.;25,400.00р.;34,200.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/5466/;;;;
STARLINE  E96 v.2 BT 2CAN+4LIN 2SIM GSM-GPS;10 шт.;15,950.00р.;19,750.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3576/;;;;
STARLINE  E96 v.2 BT 2CAN+4LIN ;10 шт.;10,150.00р.;12,800.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/3141/;;;;
STARLINE  E96 v.2 BT ECO 2CAN+4LIN;10 шт.;8,850.00р.;11,250.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/3142/;;;;
STARLINE  M96 SL;1 шт.;20,400.00р.;27,100.00р.;;СУПЕРПРЕДЛОЖЕНИЕ!!!;http://www.master12volt.ru/products/starline_car_alarm/2499/;;;;
STARLINE  S96 v.2 BT 2CAN+4LIN 2SIM GSM;10 шт.;10,150.00р.;12,800.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/3324/;;;;
STARLINE  S96 v.2 BT 2CAN+4LIN 2SIM GSM-GPS;10 шт.;12,600.00р.;16,050.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3793/;;;;
STARLINE  T94 ( грузовой транспорт 24 V );5 шт.;11,300.00р.;14,850.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/4859/;;;;
1.4 Мотосигнализации;;;;;;;;;;
Moto V66     Умный МОТОИММОБИЛАЙЗЕР!!!;10 шт.;6,350.00р.;7,800.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/1718/;;;;
Moto V66  ECO   Умный МОТОИММОБИЛАЙЗЕР!!!;10 шт.;4,100.00р.;5,250.00р.;;;http://www.master12volt.ru/products/avtosignalizatsii/3870/;;;;
Moto V63     МОТОСИСТЕМА;10 шт.;11,350.00р.;14,400.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/1713/;;;;
Moto V67     Умный МОТОИММОБИЛАЙЗЕР!!!;10 шт.;10,550.00р.;12,950.00р.;;;http://www.master12volt.ru/products/starline_car_alarm/1712/;;;;
PANDORA MOTO (model DX-42);1 шт.;12,980.00р.;15,375.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandora_car_alarm/3326/;;;;
Охранно поисковые модули / модули запуск/отопители/системы управления;;;;;;;;;;
ALLIGATOR TRACKER;1 шт.;3,850.00р.;5,050.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/3648/;;;;
Батарейки для маяков STARLINE М15/М17  (комплект 2 штуки);1 к-т;375.00р.;440.00р.;;;;;;;
STARLINE M15 EСO GPS/Глонасс;30 шт.;4,150.00р.;4,900.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/1751/;;;;
STARLINE M17 GPS/Глонасс;30 шт.;4,700.00р.;5,500.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/1752/;;;;
STARLINE M18 PRO GPS/Глонасс;1 шт.;3,950.00р.;4,800.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/4035/;;;;
STARLINE M66-S ТРЕКЕР ;1 шт.;4,700.00р.;5,500.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/2238/;;;;
STARLINE M66-М ТРЕКЕР ЭКО (метки);1 шт.;6,050.00р.;7,100.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/4589/;;;;
"Запусковый комплект StarLine (для сигнализаций A63/E63/E65; силовой модуль запуска с кабелем, датчик температуры)";1 шт.;2,080.00р.;2,460.00р.;;;http://www.master12volt.ru/products/datchiki_i_aksessuary/2094/;;;;
Запусковый комплект StarLine MINI (для сигнализаций A63/E63/E65, кабель подключения, датчик температуры);1 шт.;375.00р.;615.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4449/;;;;
Запусковый комплект StarLine СТАРТ ( для сигнализаций А66/B66/E66/S66);1 шт.;2,220.00р.;2,580.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/2894/;;;;
Запусковый комплект StarLine СТАРТ R ( для сигнализаций А67E66 v2/S66 v2);1 шт.;2,220.00р.;2,580.00р.;;;;;;;
PANDORA NAV-11 (4G/LTE/3G/2G GSM-Модем );1 шт.;10,390.00р.;12,185.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/5174/;;;;
PANDORA NAV-12 (4G/LTE/3G/2G GSM-Модем );1 шт.;8,990.00р.;10,490.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/5552/;;;;
PANDORA NAV-X;1 шт.;7,500.00р.;8,040.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/4942/;;;;
PANDORA NAV-08 MOVE;1 шт.;7,830.00р.;9,160.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/4943/;;;;
PANDORA NAV-08 PRO;1 шт.;8,680.00р.;10,160.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/4944/;;;;
PANDORA DX 5200  СИСТЕМА МОНИТОРИНГА;1 шт.;19,045.00р.;23,700.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/2324/;;;;
Иммобилайзеры;;;;;;;;;;
STARLINE  I95 ECO;1 шт.;5,770.00р.;7,620.00р.;;;http://www.master12volt.ru/products/immobilayzery/1758/;;;;
STARLINE  I95;1 шт.;6,720.00р.;9,350.00р.;;;http://www.master12volt.ru/products/immobilayzery/1126/;;;;
STARLINE  I95 LUX;1 шт.;8,230.00р.;10,860.00р.;;;http://www.master12volt.ru/products/immobilayzery/1127/;;;;
PANDECT IS-350i;1 шт.;5,390.00р.;7,125.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandect_car_alarm/57/;;;;
PANDECT IS-572BT ;1 шт.;10,645.00р.;13,530.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/immobilayzery/5464/;;;;
PANDECT IS-577BT ;1 шт.;9,620.00р.;12,345.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/immobilayzery/4945/;;;;
PANDECT IS-670;1 шт.;11,105.00р.;14,180.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/pandect_car_alarm/1648/;;;;
Цифровые радиореле блокировки;;;;;;;;;;
STARLINE R6 ( для 6-ПОКОЛЕНИЯ систем);1 шт.;3,240.00р.;4,910.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/1767/;;;;
STARLINE R6 ЕСО ( для 6-ПОКОЛЕНИЯ систем);1 шт.;2,840.00р.;3,710.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/3872/;;;;
STARLINE Кодовое микрореле SL R7 блокировки двигателя;1 шт.;2,840.00р.;3,710.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5460/;;;;
STARLINE R2 (Беспроводное реле блокировки двигателя А/В/64/94);1 шт.;1,200.00р.;1,600.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/1770/;;;;
STARLINE R4 (Реле управления замком капота и блокировки двигателя);1 шт.;2,400.00р.;2,960.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/1769/;;;;
Модули CAN- Мастер-комплеты-Программаторы ;;;;;;;;;;
ALLIGATOR 2CAN;1 шт.;1,390.00р.;1,790.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/1761/;;;;
ALLIGATOR ONLINE GSM-модуль;1 шт.;6,590.00р.;8,100.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/1760/;;;;
PIN-проводок  PANDORA AWG L200 TOYOTA (пины);20 шт.;100.00р.;200.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4361/;;;;
Радиомодуль моторного отсека PANDORA RHM-03;1 шт.;4,660.00р.;5,290.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/4182/;;;;
Радиомодуль моторного отсека PANDORA RHM-03 ВТ;1 шт.;5,360.00р.;6,280.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/4181/;;;;
Радиомодуль моторного отсека PANDORA RHM-05;1 шт.;5,360.00р.;6,280.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/2326/;;;;
Радиомодуль моторного отсека PANDORA RHM-06;1 шт.;5,360.00р.;6,280.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/2327/;;;;
Модуль управления замком капота PANDORA HM-06;1 шт.;2,825.00р.;3,780.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/2328/;;;;
GPS-приёмник Pandora NAV-035 BT ;1 шт.;3,810.00р.;4,375.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/4180/;;;;
Bluetooth-микрореле PANDORA  BT-01;1 шт.;1,905.00р.;2,515.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5553/;;;;
Радио реле PANDORA BTR-101;1 шт.;3,600.00р.;4,300.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4183/;;;;
Радио реле PANDORA RR-100;1 шт.;4,020.00р.;4,585.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/2330/;;;;
Радио реле PANDORA RR-101;1 шт.;3,175.00р.;3,625.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4184/;;;;
Радио реле PANDORA RR-102;1 шт.;3,175.00р.;3,625.00р.;;Изменение цен с 01.11.2021;http://www.master12volt.ru/products/moduli-upravleniya/2331/;;;;
STARLINE EC-1 (ЕМКОСТНОЙ СЕНСОР для доступа в авто по касанию);1 шт.;820.00р.;1,000.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/2478/;;;;
ПРОГРАММАТОР STARLINE BMV -01 (основной блок, комплект проводов);1 шт.;14,170.00р.;14,390.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/5483/;;;;
ПРОГРАММАТОР STARLINE VAG -01 (основной блок, комплект проводов);1 шт.;7,060.00р.;9,000.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/4826/;;;;
ПРОГРАММАТОР STARLINE VAG -02 (комплект проводов);1 шт.;5,380.00р.;6,800.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/5482/;;;;
STARLINE Модуль Сигма 34 (модуль расширения цифровых интерфейсов CAN и LIN);1 шт.;2,500.00р.;3,300.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/5481/;;;;
STARLINE Мастер 6 - LTE+BT 2SIM;1 шт.;5,810.00р.;6,960.00р.;;;http://www.master12volt.ru/products/dop_oborudovanie_i_aksessuary/5153/;;;;
STARLINE 2CAN-2LIN Мастер (3 штуки );3 шт.;5,580.00р.;7,670.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/2249/;;;;
STARLINE 2CAN-2LIN Мастер (1 модуль);1 шт.;1,920.00р.;2,580.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/2250/;;;;
STARLINE Мастер 6 -2CAN+2LIN  для систем 6-поколения (1 модуль);1 шт.;1,920.00р.;2,580.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/3873/;;;;
STARLINE Мастер 6-GSM+GPS  для систем 6-поколения (1 модуль);1 шт.;5,190.00р.;6,210.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/4477/;;;;
STARLINE Мастер 6-GSM+ВТ  для систем 6-поколения (1 модуль);1 шт.;4,560.00р.;5,580.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/4065/;;;;
STARLINE GSM5-Мастер  для систем 4-5-поколения (3 модуля);3 шт.;13,540.00р.;16,600.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/2242/;;;;
STARLINE GSM5-Мастер  для систем 4-5-поколения (1 модуль);1 шт.;4,560.00р.;5,580.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/2243/;;;;
STARLINE Мастер 6-GPS  для систем 6-поколения (1 модуль);1 шт.;2,450.00р.;3,240.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/2893/;;;;
STARLINE GPS-Мастер (3 антенны);3 шт.;7,310.00р.;9,460.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/2240/;;;;
STARLINE GPS-Мастер (1 модуль);1 шт.;2,450.00р.;3,240.00р.;;;http://www.master12volt.ru/products/okhranno-poiskovye-moduli/2241/;;;;
STARLINE Мастер 6- Модуль аналоговых каналов;1 шт.;1,440.00р.;1,740.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/3208/;;;;
STARLINE Мастер 6- Комплект резервного питания;1 шт.;2,220.00р.;2,760.00р.;;;;;;;
STARLINE Мастер 6- Комплект управления брелком (для S96/S96 v.2);1 шт.;1,580.00р.;2,040.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/5238/;;;;
STARLINE Мастер 6- Комплект управления брелком (для AS96/AS96 v.2);1 шт.;1,580.00р.;2,040.00р.;;;http://www.master12volt.ru/products/moduli-upravleniya/5239/;;;;
Аксессуары для автосигнализаций;;;;;;;;;;
 Брелоки;;;;;;;;;;
STARLINE БРЕЛОК A63/93/Е63/Е93/Е60/Е90 без дисплея (в упаковке);1 шт.;1,190.00р.;1,330.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/3143/;;;;
STARLINE БРЕЛОК ABDE 94 без дисплея (в упаковке);1 шт.;1,060.00р.;1,190.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/4362/;;;;
STARLINE БРЕЛОК ABDE 95 без дисплея (в упаковке);1 шт.;1,190.00р.;1,330.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/3144/;;;;
STARLINE БРЕЛОК A/B/D/E 96 без дисплея (в упаковке);1 шт.;1,410.00р.;1,560.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/4368/;;;;
STARLINE БРЕЛОК A61/В6 Dialog;1 шт.;3,090.00р.;3,390.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/2884/;;;;
STARLINE БРЕЛОК A91/В9 Dialog;1 шт.;3,090.00р.;3,390.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/2887/;;;;
STARLINE БРЕЛОК A63/А93;1 шт.;3,090.00р.;3,390.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/2244/;;;;
STARLINE БРЕЛОК A94 Slave;1 шт.;3,090.00р.;3,390.00р.;;;;;;;
STARLINE БРЕЛОК A95;1 шт.;3,090.00р.;3,390.00р.;;;http://www.master12volt.ru/products/breloki-k-avtosiznalizatsiyam/4185/;;;;
